n	h_bst	h_avl
1000	21.8	10.0
1200	22.6	11.0
1400	23.7	11.0
1600	24.0	11.0
1800	24.4	11.0
2000	24.3	11.0
2200	24.7	12.0
2400	25.9	12.0
2600	25.1	12.0
2800	26.3	12.0
3000	26.3	12.0
3200	27.9	12.0
3400	28.0	12.0
3600	27.6	12.0
3800	27.4	12.0
4000	27.7	12.0
4200	26.5	13.0
4400	28.2	13.0
4600	28.5	13.0
4800	29.2	13.0
5000	28.9	13.0
5200	28.9	13.0
5400	29.2	13.0
5600	28.9	13.0
5800	28.7	13.0
6000	30.7	13.0
6200	29.1	13.0
6400	28.9	13.0
6600	29.6	13.0
6800	29.6	13.0
7000	30.3	13.0
7200	29.8	13.0
7400	30.1	13.0
7600	29.9	13.0
7800	29.9	13.0
8000	30.0	13.0
8200	30.2	14.0
8400	31.2	14.0
8600	30.8	14.0
8800	31.0	14.0
9000	29.3	14.0
9200	31.3	14.0
9400	31.2	14.0
9600	31.0	14.0
9800	30.5	14.0
